date,day,elapsed_seconds,solved,checked,revealed,streak_eligible,solve_date,first_opened_date
2020-10-24,Sat,1347,0,0,0,0,,2020-10-25
2020-10-26,Mon,658,1,0,0,1,2020-10-25,2020-10-25
2020-10-27,Tue,1490,1,0,0,1,2020-10-27,2020-10-26
2020-10-28,Wed,3793,1,1,0,0,2020-10-28,2020-10-27
2020-10-29,Thu,2995,1,0,0,1,2020-10-29,2020-10-28
2020-10-30,Fri,1816,0,1,0,0,,2020-10-29
2020-10-31,Sat,3574,0,1,0,0,,2020-10-30
2020-11-02,Mon,710,1,0,0,1,2020-11-02,2020-11-01
2020-11-03,Tue,2010,1,1,0,0,2020-11-03,2020-11-02
2020-11-04,Wed,1492,1,0,0,1,2020-11-04,2020-11-03
2020-11-05,Thu,4703,1,1,0,0,2020-11-05,2020-11-04
2020-11-06,Fri,4938,1,1,0,0,2020-11-07,2020-11-05
2020-11-07,Sat,7208,1,1,1,0,2020-11-07,2020-11-07
2020-11-08,Sun,7498,1,0,0,1,2020-11-08,2020-11-07
2020-11-09,Mon,1699,1,0,0,1,2020-11-09,2020-11-08
2020-11-10,Tue,3929,1,1,0,0,2020-11-10,2020-11-09
2020-11-11,Wed,3592,1,0,0,1,2020-11-10,2020-11-10
2020-11-12,Thu,5627,1,1,0,0,2020-11-12,2020-11-11
2020-11-13,Fri,5454,1,0,0,1,2020-11-12,2020-11-12
2020-11-14,Sat,4349,1,1,0,0,2020-11-14,2020-11-13
2020-11-15,Sun,3833,0,0,0,0,,2020-11-14
2020-11-16,Mon,1099,1,0,0,1,2020-11-15,2020-11-15
2020-11-17,Tue,1082,1,0,0,1,2020-11-16,2020-11-16
2020-11-18,Wed,1823,1,0,0,1,2020-11-18,2020-11-17
2020-11-19,Thu,3846,1,1,0,0,2020-11-19,2020-11-18
2020-11-20,Fri,4148,1,1,0,0,2020-11-20,2020-11-19
2020-11-21,Sat,4768,0,1,0,0,,2020-11-21
2020-11-23,Mon,1314,1,1,0,0,2020-11-22,2020-11-22
2020-11-24,Tue,1139,1,0,0,1,2020-11-24,2020-11-23
2020-11-25,Wed,2122,1,0,0,1,2020-11-25,2020-11-24
2020-11-26,Thu,5342,1,1,0,0,2020-11-27,2020-11-25
2020-11-27,Fri,4908,1,1,0,0,2020-11-29,2020-11-27
2020-11-28,Sat,3134,1,1,0,0,2020-11-29,2020-11-29
2020-11-29,Sun,2348,0,0,0,0,,2020-11-29
2020-11-30,Mon,871,1,0,0,1,2020-11-29,2020-11-29
2020-12-01,Tue,2723,1,1,0,0,2020-12-01,2020-11-30
2020-12-02,Wed,1861,1,1,0,0,2020-12-02,2020-12-01
2020-12-03,Thu,1724,1,0,0,1,2020-12-03,2020-12-02
2020-12-04,Fri,2466,0,1,0,0,,2020-12-03
2020-12-05,Sat,2751,1,1,0,0,2020-12-14,2020-12-07
2020-12-07,Mon,968,1,0,0,1,2020-12-06,2020-12-06
2020-12-08,Tue,965,1,0,0,1,2020-12-07,2020-12-07
2020-12-09,Wed,1675,1,0,0,1,2020-12-08,2020-12-08
2020-12-10,Thu,4983,1,1,0,0,2020-12-09,2020-12-09
2020-12-11,Fri,4288,1,1,0,0,2020-12-11,2020-12-10
2020-12-12,Sat,1179,0,0,0,0,,2020-12-11
2020-12-14,Mon,2167,1,1,0,0,2020-12-14,2020-12-13
2020-12-15,Tue,1062,1,0,0,1,2020-12-14,2020-12-14
2020-12-16,Wed,1542,1,0,0,1,2020-12-15,2020-12-15
2020-12-17,Thu,1942,1,0,0,1,2020-12-16,2020-12-16
2020-12-18,Fri,5310,1,1,0,0,2020-12-18,2020-12-17
2020-12-19,Sat,3571,0,1,0,0,,2020-12-18
2020-12-20,Sun,3137,0,0,0,0,,2020-12-19
